gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
20497	HARN	1287	HARN0001287		'HC015'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
6306	HARN	1294	HARN0001294		'25S/34E-30dcc'	OWRD GWR 016	Leonard, A.R., 1970, Ground-water resources in Harney Valley, Harney County, Oregon: State of Oregon, Ground Water Report No. 16.	1/29/2024
6306	HARN	1294	HARN0001294		'25S/34E-30dcc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18558	HARN	1303	HARN0001303		'26S/26E-13cdd'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18558	HARN	1303	HARN0001303		'434124119270901'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18361	HARN	1307	HARN0001307		'No. 278'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18559	HARN	1312	HARN0001312		'26S/29E-18aac'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18559	HARN	1312	HARN0001312		'431919119164701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18362	HARN	1314	HARN0001314		'No. 283'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18560	HARN	1340	HARN0001340		'26S/30E-18dad'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18560	HARN	1340	HARN0001340		'431849119093301'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18363	HARN	1341	HARN0001341		'No. 292'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18561	HARN	1342	HARN0001342		'26S/31E-10dca'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18561	HARN	1342	HARN0001342		'431936118594401'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18366	HARN	1346	HARN0001346		'No. 294'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
