gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
6276	HARN	1477	HARN0001477		'27S/33E-2bbb'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17578	HARN	1482	HARN0001482	95074	'27S/33E-20dba'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17578	HARN	1482	HARN0001482	95074	'431238118400101'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
17579	HARN	1485	HARN0001485		'27S/33E-23aca'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17579	HARN	1485	HARN0001485		'431249118362801'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18494	HARN	1493	HARN0001493		'27S/34E-8bcd'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18494	HARN	1493	HARN0001493		'431431118333201'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
21185	HARN	1494	HARN0001494		'40176'	ODEQ Station ID	Oregon Department of Environmental Quality Station ID	1/29/2024
21185	HARN	1494	HARN0001494		'431419118322301'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
21185	HARN	1494	HARN0001494		'HC049'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
13904	HARN	1495	HARN0001495	119823	'40175'	ODEQ Station ID	Oregon Department of Environmental Quality Station ID	1/29/2024
13904	HARN	1495	HARN0001495	119823	'431438118314501'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
13904	HARN	1495	HARN0001495	119823	'HC048'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
18495	HARN	1507	HARN0001507		'27S/34E-17cac'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18495	HARN	1507	HARN0001507		'431319118332801'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
